gene_id	gene_name	Control_R1	Control_R2	Control_R3	VSOP_R1	VSOP_R2	VSOP_R3
ENSG00000244167.1	AC005532.2	0	0	0	0	0	0
ENSG00000244169.3	RN7SL120P	0	0	0	0	0	0
ENSG00000244171.4	PBX2P1	9.559	16.919	16.054	11.892	14.208	13.125
ENSG00000244176.1	AP003733.1	0	0	0	0	0	0
ENSG00000244183.1	PPIAP71	0	0	0	0	0	0
ENSG00000244184.1	AC091153.3	1	1	3	0	2	2
ENSG00000244187.8	TMEM141	1142.982	1213	1024.001	1145.963	1006.972	1139.992
ENSG00000244192.1	AC113367.1	6.001	3	4	4	3.01	4.014
ENSG00000244193.1	AC008040.4	0	0	0	0	0	0
ENSG00000244194.3	RN7SL218P	0	0	0	0	0	0
ENSG00000244196.1	PPIAP15	0	0	0	0	0	2.018
ENSG00000244197.3	RN7SL766P	0	0	0	0	0	0
ENSG00000244198.7	ARHGEF35-AS1	26.317	44.653	22.63	43.927	50	27.487
ENSG00000244199.1	EIF4EP3	0	0	0	0	0	0
ENSG00000244203.2	FOXP1-AS1	0	0	0	0	0	0
ENSG00000244213.1	ZFAND6P1	0	0	0	0	0	0
ENSG00000244215.2	LINC02016	0	0	0	0	0	0
ENSG00000244217.1	RPS4XP10	0	0	0	0	0	0
ENSG00000244218.3	RN7SL81P	5	5	4	10	6	11
ENSG00000244219.7	TMEM225B	13	21.197	10	6.538	8.795	1.85
ENSG00000244222.2	OR7E121P	0	0	0	0	0	0
ENSG00000244226.1	ILF2P1	1	0	0	0	0	0
ENSG00000244227.7	LRRC77P	4	3	7	1	0	6
ENSG00000244229.1	RPL26P35	0	0	0	0	0	0
ENSG00000244230.3	RN7SL151P	1	0	0	0	0	2
ENSG00000244231.1	CSPG4P2Y	0	0	0	0	0	0
ENSG00000244232.3	RN7SL698P	1	0	0	0	0	0
ENSG00000244234.2	GMCL2	0	0	0	2.049	0	2.059
ENSG00000244235.2	AC103724.1	0	0	0	0	0	0
ENSG00000244236.3	RN7SL604P	0	0	1	0	0	0
ENSG00000244237.1	AL133445.1	0	0	0	0	0	0
ENSG00000244239.1	AC007009.1	0	0	0	0	0	0
ENSG00000244242.2	IFITM10	42.352	62.537	16.335	120.204	77.176	78.352
ENSG00000244244.2	RPS3AP42	0	0	0	0	0	0
ENSG00000244245.1	AC133134.1	0	1.341	5.804	2.828	0	3.065
ENSG00000244246.1	ZNF736P8Y	0	0	0	0	0	0
ENSG00000244247.2	LINC01995	0	0	0	0	0	0
ENSG00000244249.1	AC063955.1	0	0	0	0	0	0
ENSG00000244251.1	AC013356.1	0	0	0	2	1.276	1.23
ENSG00000244253.1	RPS29P24	0	0	0	0	0	0
ENSG00000244255.5	AL645922.1	0	0	0	0	0	0
ENSG00000244256.3	RN7SL130P	0	0	0	0	1	0
ENSG00000244257.5	PKD1P1	2369.12	3414.313	2645.232	3471.106	2868.341	3731.072
ENSG00000244259.1	AP000797.2	0	0	0	0	0	0
ENSG00000244260.2	AC082651.4	0	0	0	0	0	0
ENSG00000244264.3	RN7SL597P	0	0	0	0	0	0
ENSG00000244265.2	SIAH2-AS1	1	5	1	2	1	2
ENSG00000244266.1	AC090058.1	0	0	1	0	0	0
ENSG00000244267.1	RPL34P22	0	2	1	0	1	1
ENSG00000244268.1	AC117394.2	0	0	0	0	3	1
ENSG00000244270.1	RPL32P29	0	0	0	0	0	0
ENSG00000244273.1	PGBD4P1	0	0	0	0	0	0
ENSG00000244274.7	DBNDD2	1526.206	1508.662	1892.932	1365.161	1247.892	1985.742
ENSG00000244278.1	AP000235.1	0	0	0	0	0	0
ENSG00000244280.1	ECEL1P2	0	0	0	0	0	0
ENSG00000244281.1	AC107302.1	0	0	0	0	0	0
ENSG00000244283.1	RPL23AP73	0	0	0	0	0	0
ENSG00000244286.1	ITGB5-AS1	0	0	0	0	0	0
ENSG00000244289.1	RPS3AP35	0	0	0	0	0	0
ENSG00000244292.1	OR9N1P	1	1	1	0	0	0
ENSG00000244294.3	RN7SL740P	0	0	0	0	0	0
ENSG00000244295.2	RPS20P21	0	0	0	0	0	0
ENSG00000244296.3	RN7SL168P	0	0	0	0	0	0
ENSG00000244297.3	RN7SL465P	0	0	0	0	0	0
ENSG00000244300.3	GATA2-AS1	5	6	9	5	10	10
ENSG00000244301.6	AOX3P	0	1	1	0	0	0
ENSG00000244302.2	PEX5L-AS2	0	0	0	0	0	0
ENSG00000244306.11	AL589743.1	12.573	26.476	41	13	16.295	45.565
ENSG00000244307.3	RN7SL395P	0	0	0	0	0	0
ENSG00000244308.2	RN7SL762P	0	0	0	0	0	0
ENSG00000244310.2	AC093904.3	0	0	0	1	0	0
ENSG00000244313.3	AC024293.1	86.916	72.708	86.345	106.221	94.098	110.511
ENSG00000244314.3	RN7SL36P	0	0	0	0	0	1
ENSG00000244318.3	RN7SL252P	0	0	0	0	0	0
ENSG00000244321.1	LINC01326	1	0	0	0	0	0
ENSG00000244326.3	RN7SL814P	0	0	0	0	0	0
ENSG00000244327.1	AC109992.2	0	2.412	1.228	1	0	3
ENSG00000244328.3	RN7SL845P	0	0	0	0	0	0
ENSG00000244329.1	UBA52P9	0	0	0	0	0	0
ENSG00000244331.1	AC008677.2	3	3	2	3	2	2
ENSG00000244332.1	AL138759.1	0	0	0	0	0	0
ENSG00000244335.3	RN7SL687P	0	0	0	0	0	0
ENSG00000244337.2	AJ239322.2	0	0	0	0	0	0
ENSG00000244342.5	LINC00698	0	0	0	0	0	0
ENSG00000244345.1	AC104435.2	1	1	0	0	0	0
ENSG00000244346.1	AC092953.1	1	0	2	0	1	0
ENSG00000244349.1	AL662791.1	0	0	0	0	0	0
ENSG00000244355.7	LY6G6D	0	0	0	0	0	0
ENSG00000244356.3	RN7SL398P	0	0	0	1	0	1
ENSG00000244357.3	RN7SL145P	3	2	6	4	7	5
ENSG00000244358.1	AC055758.2	0	0	0	0	0	0
ENSG00000244361.1	RPL30P7	0	0	0	0	0	0
ENSG00000244362.3	KRTAP19-7	0	0	0	0	0	0
ENSG00000244363.3	RPL7P23	3.611	5.59	1.565	2.801	4.181	2.381
ENSG00000244371.2	PFN1P8	0	0	0	0	0	0
ENSG00000244372.3	RN7SL423P	0	0	0	0	0	0
ENSG00000244376.3	RN7SL636P	0	0	0	0	0	0
ENSG00000244378.1	RPS2P45	7	1	2	2	1	1
ENSG00000244380.1	AC134772.1	4	7	3	7	3	4
ENSG00000244381.1	AC007849.2	4.344	5.436	5.632	1.059	1.071	1.057
ENSG00000244383.2	FAM3D-AS1	1	0	0	1	0	1
ENSG00000244384.3	RN7SL359P	0	0	0	0	0	0
ENSG00000244389.3	RN7SL242P	0	0	0	0	0	0
ENSG00000244390.2	RPS6P22	0	0	0	0	0	0
ENSG00000244391.3	RN7SL330P	0	0	0	0	0	0
ENSG00000244392.3	RN7SL869P	0	0	0	0	0	0
ENSG00000244395.6	RBMY1D	0	0	0	0	0	0
ENSG00000244398.1	AC116533.1	201.009	178.666	217.955	192.234	160.632	198.514
ENSG00000244399.3	RN7SL251P	0	0	0	0	0	0
ENSG00000244400.2	RPS4XP12	0	0	0	0	0	0
ENSG00000244402.3	RN7SL314P	0	0	0	0	0	0
ENSG00000244404.3	RN7SL216P	0	0	0	0	0	0
ENSG00000244405.8	ETV5	1170	981	2158	791.001	757	1901
ENSG00000244411.4	KRTAP5-7	2	1	0	0	0	0
ENSG00000244413.1	RPL23AP56	0	0	0	0	0	0
ENSG00000244414.6	CFHR1	0	1	0	0	0	0
ENSG00000244422.3	RPL38P3	0	0	0	0	0	0
ENSG00000244425.3	RN7SL268P	0	0	0	0	0	0
ENSG00000244427.1	AC105233.1	0	0	0	0	0	0
ENSG00000244429.1	AC104629.1	0	0	0	0	0	0
ENSG00000244432.2	RPL39P28	0	0	0	0	0	0
ENSG00000244436.2	AC023050.1	0	0	0	0	0	0
ENSG00000244437.1	IGKV3-15	0	0	0	1	0	1
ENSG00000244441.1	AC126182.2	0	0	0	0	0	0
ENSG00000244451.1	RPL34P21	0	0	0	0	0	0
ENSG00000244456.2	SPECC1P2	0	0	0	0	0	0
ENSG00000244457.2	ENO1P1	0	0	0	0	0	29.536
ENSG00000244459.2	AC147067.1	80	87	100	66	81	90
ENSG00000244461.1	LINC02077	0	0	0	0	0	0
ENSG00000244462.8	RBM12	5856.688	6032.616	6227.513	5716.741	5478.218	6805.547
ENSG00000244464.2	AC107029.2	0	0	0	0	0	0
ENSG00000244468.1	AC093001.1	0	0	0	0	0	0
ENSG00000244470.2	AC105918.1	0	0	0	0	0	0
ENSG00000244471.6	AL137058.1	1	0	0	0	0	0
ENSG00000244474.5	UGT1A4	0	0	0	0	0	0
ENSG00000244476.3	ERVFRD-1	0	3	0	0	3	0
ENSG00000244479.7	OR2A1-AS1	6.683	1	6.37	1.074	15	2.514
ENSG00000244480.1	AC005154.2	96.026	134.988	128.159	141.274	111.151	132.815
ENSG00000244482.10	LILRA6	5110.425	5924.657	7789.493	6365.86	5114.466	9282.269
ENSG00000244485.1	RPL18P13	0	0	1	0	1	1
ENSG00000244486.8	SCARF2	54	88.346	61	65.21	51	52
ENSG00000244490.1	RWDD4P1	2.346	2.228	2.007	3.082	0	2.155
ENSG00000244491.1	AL021707.5	10.789	8.99	4.387	8.22	7.41	5
ENSG00000244493.1	SLC9A9-AS2	0	0	0	0	0	0
ENSG00000244501.3	RN7SL623P	0	0	0	0	0	0
ENSG00000244502.2	HDAC11-AS1	1	3	3	2	6	1
ENSG00000244503.1	AC108751.5	0	0	1	0	0	0
ENSG00000244509.4	APOBEC3C	3080.608	5171.204	3696.559	2733.77	4345.525	3585.673
ENSG00000244510.2	AC008267.6	0	0	1	0	0	0
ENSG00000244512.3	RN7SL28P	0	0	0	0	0	0
ENSG00000244513.7	AC109587.1	16	25	9	44	21	15
ENSG00000244514.3	RN7SL125P	0	0	0	0	0	0
ENSG00000244515.1	KRT18P34	1	1	2	4	1	0
ENSG00000244521.3	RN7SL700P	0	0	0	0	0	0
ENSG00000244527.1	AC022795.1	2.195	0	1.042	0	0	1.06
ENSG00000244528.1	SEPTIN14P2	0	0	0	0	0	0
ENSG00000244532.1	RN7SL380P	0	0	0	0	0	0
ENSG00000244534.3	RN7SL211P	0	0	0	0	0	0
ENSG00000244535.1	AL049714.1	1	1	1	1	0	0
ENSG00000244537.3	KRTAP4-2	0	0	0	0	0	0
ENSG00000244538.1	AC098583.1	4.309	12.72	4.816	4.001	7.261	7.802
ENSG00000244540.2	AC087884.2	0	0	0	0	0	0
ENSG00000244541.6	LINC01213	3	0	0	0	0	0
ENSG00000244544.2	RN7SL446P	0	0	0	0	0	0
ENSG00000244545.1	AC092924.1	0	0	0	0	0	0
ENSG00000244550.1	AC006455.8	0	0	0	0	0	0
ENSG00000244551.2	RPL34P29	0	0	0	0	0	0
ENSG00000244556.1	ODCP	0	0	0	0	1	0
ENSG00000244558.6	KCNK15-AS1	0	0	0	0	0	0
ENSG00000244559.1	AC091179.2	0	0	0	0	0	0
ENSG00000244560.7	AC004890.2	289.711	284.871	224.104	464.825	244.994	281.662
ENSG00000244561.1	AC092905.1	0	0	0	0	0	0
ENSG00000244563.1	AC006011.2	0	0	0	0	0	0
ENSG00000244564.2	PRICKLE2-DT	0	0	0	0	0	0
ENSG00000244565.1	AC073901.1	0	0	0	1	0	0
ENSG00000244568.3	RN7SL654P	0	0	0	0	0	0
ENSG00000244571.1	RPS6P4	0	0	0	0	0	0
ENSG00000244573.3	RPL30P11	1	0	1	0	2	1
ENSG00000244575.3	IGKV1-27	0	0	0	0	0	0
ENSG00000244578.1	LINC01391	0	0	0	0	0	0
ENSG00000244582.2	RPL21P120	2.463	1.741	3.386	1.929	1.269	0
ENSG00000244585.1	RPL12P33	0	1	1.006	1	0	0
ENSG00000244586.1	WNT5A-AS1	0	3	3	1	3	2
ENSG00000244588.5	RAD21L1	0	0	0	0	0	0
ENSG00000244593.1	AC025062.1	1	1	0	0	0	0
ENSG00000244604.1	AC025518.1	2.532	0	0	0	0	1.144
ENSG00000244607.7	CCDC13	55.818	64.057	55.937	66.196	56.979	81.608
ENSG00000244610.3	RN7SL756P	0	0	0	0	0	0
ENSG00000244615.1	PSPC1P2	0	0	0	0	0	0
ENSG00000244617.2	ASPRV1	18	25	22	10	21	12
ENSG00000244618.3	RN7SL334P	0	0	0	0	0	0
ENSG00000244619.2	AC243547.1	0	0	0	0	0	0
ENSG00000244620.1	AC246787.2	0	0	0	0	0	0
ENSG00000244621.1	RPS17P11	0	0	0	0	0	0
ENSG00000244623.1	OR2AE1	0	1	3	3	1	4
ENSG00000244624.3	KRTAP20-1	0	0	0	0	0	0
ENSG00000244625.7	MIATNB	158.315	155.937	135.537	170.793	141.353	148.66
ENSG00000244627.5	TPTEP2	59.294	74.01	58.995	66.803	31.823	41.433
ENSG00000244630.2	AC022493.1	0	0	0	0	0	0
ENSG00000244632.3	RN7SL863P	0	0	1	0	0	0
ENSG00000244640.1	AC096922.1	0	0	0	0	0	0
ENSG00000244641.2	RPS26P43	0	0	0	0	0	0
ENSG00000244642.3	RN7SL396P	0	0	0	0	0	0
ENSG00000244646.4	XKRY2	0.5	0	0	0	0	0.5
ENSG00000244649.5	LINC02086	0	0	0	0	0	0
ENSG00000244650.2	AC025566.1	0	0	0	0	0	0
ENSG00000244652.1	AC079382.1	0	0	0	0	0	0
ENSG00000244653.1	UBFD1P1	0	0	0	0	0	0
ENSG00000244657.1	AC008267.7	0	0	0	0	0	0
ENSG00000244661.1	TRBV12-1	0	0	0	0	0	0
ENSG00000244662.1	AC087312.1	0	0	0	0	0	0
ENSG00000244668.1	SNRPCP3	1	1	1	0	0	0
ENSG00000244669.1	AC104689.1	0	0	0	0	0	0
ENSG00000244671.3	RN7SL280P	0	0	0	0	0	0
ENSG00000244674.1	RPS3AP15	0	0	0	0	0	0
ENSG00000244675.2	AC108676.1	4.569	9.661	5.16	11.962	8.43	6.323
ENSG00000244676.5	AL109761.1	0	1	0	0	0	0
ENSG00000244677.3	RN7SL706P	0	0	0	0	0	0
ENSG00000244681.1	MTHFD2P1	1.002	0	2	0	0	0
ENSG00000244682.7	FCGR2C	4134.726	9349.824	13401.817	3897.55	6351.438	10566.263
ENSG00000244687.11	UBE2V1	6310.593	6944.421	6847.775	6257.454	5819.437	7223.734
ENSG00000244691.1	RPL10AP1	2	0	1	4.002	0	0
ENSG00000244692.3	RN7SL724P	0	0	0	0	0	0
ENSG00000244693.1	CTAGE8	0	0	4.187	0	2.5	0
ENSG00000244694.7	PTCHD4	1	0	0	0	0	0
ENSG00000244699.1	AC139453.2	0	0	0	0	1	0
ENSG00000244701.1	AC004918.1	34	50	71	33	48	74
ENSG00000244703.3	CD46P1	1.021	0	1.027	1.172	0	1.02
ENSG00000244705.1	AC020658.1	0	0	0	0	0	0
ENSG00000244706.4	AC026353.1	0	0	0	0	0	0
ENSG00000244708.1	RPL23P10	0	0	0	0	0	0
ENSG00000244710.3	RN7SL47P	0	0	0	1	0	1
ENSG00000244712.1	AC084754.1	0	0	0	1	0	0
ENSG00000244716.3	BX679664.3	0	30.11	14.723	0	14.122	0
ENSG00000244717.1	RPS27P14	0	0	0	0	0	0
ENSG00000244720.1	AC055748.1	0	0	0	0	0	0
ENSG00000244722.1	RPSAP29	1.066	1	0	0	0	0
ENSG00000244723.3	ASLP1	3	7	3	7	8.03	5.003
ENSG00000244730.1	AC139451.1	0	0	0	0	0	0
ENSG00000244731.8	C4A	34.802	166.927	174.928	162.971	127.061	189.009
ENSG00000244732.3	RN7SL870P	0	0	0	0	0	0
ENSG00000244733.5	AL132656.2	2.421	6.649	6.633	7.377	0	1.854
ENSG00000244734.4	HBB	1	1	3	1	0	1
ENSG00000244738.1	AC026316.3	0	0	0	0	0	1
ENSG00000244740.1	AC092991.1	0	0	0	0	0	0
ENSG00000244743.1	AC087588.1	1	0	0	0	0	1
ENSG00000244748.3	RN7SL153P	0	0	1	0	1	0
ENSG00000244752.3	CRYBB2	0	11.605	0	0	14.433	0
ENSG00000244753.2	RPL15P21	0	0	0	0	0	0
ENSG00000244754.8	N4BP2L2	4630.999	5409	4567.998	5264	4497	5009.999
ENSG00000244756.1	AL049874.2	0	0	0	0	0	0
ENSG00000244757.1	AL137024.1	0	0	0	0	0	0
ENSG00000244791.3	AC087667.1	0	0	0	0	0	0
ENSG00000244879.8	GABPB1-AS1	596	1268	692	722.999	1044	782
ENSG00000244921.2	MTCYBP18	1	0	1	0	1	0
ENSG00000244926.7	ALKBH3-AS1	0	0	0	0	0	0
ENSG00000244932.2	AL449212.1	0	0	0	0	0	0
ENSG00000244945.1	AC136604.2	2	3	3	7	5	5
ENSG00000244952.2	AC123768.2	44.069	32.769	52.656	48.505	39.458	51.232
ENSG00000244953.1	AC087521.1	1	0	0	0	0	0
ENSG00000244968.7	LIFR-AS1	0	0	0	0	0	0
ENSG00000244998.1	AC100803.2	0	0	0	0	0	0
ENSG00000245008.4	AP001122.1	1	4	0	3	0	1
ENSG00000245017.2	LINC02453	12	18	17	11	11	16
ENSG00000245025.3	AC107959.1	75.568	98	50	83	95	66
ENSG00000245059.2	AC092718.1	0	0	0	0	0	1
ENSG00000245060.8	LINC00847	1458	1863	980	2171.001	1614	1598
ENSG00000245067.7	IGFBP7-AS1	0	0	0	0	0	0
ENSG00000245080.7	MIR3150BHG	0	1	0	0	0	3
ENSG00000245105.4	A2M-AS1	8	51	63	22	40	57
ENSG00000245112.2	SMARCA5-AS1	3	4	2	0	6	6
ENSG00000245146.7	MALINC1	22	25	21	25.001	23	15
ENSG00000245148.2	ARAP1-AS2	2	2	2	6	1	1
ENSG00000245149.4	RNF139-AS1	34	62	36	51	57	43.001
ENSG00000245156.1	AP001107.1	0	1	2	0	1	2
ENSG00000245164.8	LINC00861	1	1	0	1	0	1
ENSG00000245205.3	EEF1A1P4	13.756	14.536	16.549	14.737	9.175	9.459
ENSG00000245213.7	AC105285.1	55	65.001	67	77.999	64.999	67
ENSG00000245248.8	USP2-AS1	7	21.001	1	27	11	7
ENSG00000245261.1	AL133375.1	4	6	6	7	12	8
ENSG00000245275.8	SAP30L-AS1	40.999	47	42	28	35.001	46
ENSG00000245281.8	AC124242.1	13	10	11.999	12	8.002	12
ENSG00000245293.3	AC096564.1	4	6	2	4	2	6
ENSG00000245311.2	ARNTL2-AS1	0	0	0	0	0	0
ENSG00000245317.2	AC008393.1	10	10	19	13	8	18
ENSG00000245322.7	H2AZ1-DT	16	20	11	13	19	30
ENSG00000245330.4	AP005717.1	0	0	0	0	0	0
ENSG00000245384.2	CXXC4-AS1	0	0	0	0	0	1
ENSG00000245385.2	AP003396.1	0	0	2	0	0	1
ENSG00000245466.1	AL357153.1	0	0	0	0	0	0
ENSG00000245468.4	LINC02447	8	9	8	10	2	7
ENSG00000245479.3	LINC01585	7	10	8	4	6	12
ENSG00000245482.2	AC046130.2	0	0	1	0	0	0
ENSG00000245498.7	AP000866.1	97	130.999	117.999	115	128.999	133
ENSG00000245522.2	LINC02709	13	21	9	23	21	7
ENSG00000245526.11	LINC00461	2	4	2	0	0	0
ENSG00000245532.9	NEAT1	24577	33269	27045	43287.609	30731	34785.999
ENSG00000245534.7	RORA-AS1	33	52.001	40.001	43.001	46	43
ENSG00000245552.7	AP000787.1	7	4	4	8	2	7
ENSG00000245556.3	SCAMP1-AS1	154	204	175	243	183	233
ENSG00000245571.7	FAM111A-DT	46	73	66	71	52	83
ENSG00000245573.9	BDNF-AS	24	36	26	25	26.001	26
ENSG00000245598.6	DACT3-AS1	3	1	1	3	3	3
ENSG00000245614.4	DDX11-AS1	3	5	0	2.909	5.189	0
ENSG00000245648.2	AC022075.1	3.143	1	1	0	0	0
ENSG00000245651.3	AC083805.1	0	1	0	0	0	1
ENSG00000245662.4	LINC02211	12	26	22	30	15	33
ENSG00000245667.2	AC006064.1	0	0	0	0	0	1
ENSG00000245680.10	ZNF585B	560.542	577.607	496.768	576.362	517.271	521.225
ENSG00000245685.7	FRG1-DT	14	19	14	15	15	20
ENSG00000245688.1	AC008659.1	15	4	13	7	5	10
ENSG00000245694.10	CRNDE	21	29	9	15	11	28
ENSG00000245711.2	NADK2-AS1	0	1	0	0	0	0
ENSG00000245719.1	AC009292.1	3	2	1	0	0	1
ENSG00000245729.2	LINC02226	0	0	0	0	0	0
ENSG00000245748.1	AC097382.2	5	5	3	7	1	5
ENSG00000245750.9	DRAIC	0	4	1	1	0	0
ENSG00000245768.7	AC106793.1	1	3	1	4	2	1
ENSG00000245812.3	LINC02202	2	5	3	1	12.714	1
ENSG00000245832.7	MIR4300HG	1	0	0	0	0	2
ENSG00000245848.3	CEBPA	11397	12593	11576	13274	11070	12323
ENSG00000245849.8	RAD51-AS1	143.999	264.001	205	230	189	199.288
ENSG00000245857.3	AF233439.1	0	0	0	0	0	1
ENSG00000245864.3	MEF2C-AS2	0	0	1	0	0	0
ENSG00000245869.2	AP004609.3	0	3	0	0	2	0
ENSG00000245870.4	LINC00682	0	0	0	0	0	0
ENSG00000245888.7	NSMCE1-DT	31	29	44	31	30	40
ENSG00000245904.4	AC025164.2	13	16	22	24	29.999	22
ENSG00000245910.8	SNHG6	732.001	955	809	928	767	1015
ENSG00000245928.2	AC112719.2	0	0	0	0	0	0
ENSG00000245937.8	LINC01184	501	425.999	468.001	493.002	416.999	513.998
ENSG00000245954.8	LINC02273	0	0	0	0	0	0
ENSG00000245958.6	AC093752.1	191.292	198.484	216.087	219.503	154.575	244.47
ENSG00000245970.2	AP003352.1	0	1	1	2	0	2
ENSG00000245975.2	AC090515.3	10	14	15	14	8	16
ENSG00000246016.2	LINC01513	0	0	0	0	0	0
ENSG00000246022.3	ALDH1L1-AS2	0	0	0	0	0	0
ENSG00000246067.8	RAB30-DT	513.001	642.001	577.999	528	594.006	649
ENSG00000246082.2	NUDT16P1	127	184	248	210	166	263
ENSG00000246084.5	LINC02325	0	0	0	0	0	0
ENSG00000246089.3	AC016065.1	103	122	86	95	106	116
ENSG00000246090.7	AP002026.1	25	9	7	22	10	13
ENSG00000246095.2	LINC01096	0	0	0	0	0	0
ENSG00000246100.4	LINC00900	284.001	247.001	190	426	346.001	361
ENSG00000246115.3	SUPT4H1P2	2	0	4	3	3	1
ENSG00000246130.1	AC107959.2	1	0	0	2	0	1.001
ENSG00000246145.1	RRS1-AS1	4	5	5	3	4	2
ENSG00000246174.9	KCTD21-AS1	18	13	22.001	12.03	31	26
ENSG00000246203.2	AL353807.3	1.314	2.831	0	2.845	1.35	1.351
ENSG00000246211.2	P4HA3-AS1	1	0	0	0	0	0
ENSG00000246214.2	AC024588.1	0	0	1	0	0	0
ENSG00000246223.9	LINC01550	0	1	0	0	0	0
ENSG00000246225.7	AC006299.1	7	3	3	1	1	2
ENSG00000246228.6	CASC8	0	0	0	0	0	0
ENSG00000246250.3	AC087521.2	3	0	2	0	0	0
ENSG00000246263.3	UBR5-AS1	156	229	144	194	168	174
ENSG00000246273.8	SBF2-AS1	608.999	719	463.001	957.999	760	723.001
ENSG00000246283.2	AC090510.1	7	8	7	10	8	11
ENSG00000246308.2	AC116535.2	5	10	3	8	14	0
ENSG00000246316.8	AC010230.1	0	0	0	0	0	0
ENSG00000246323.2	AC113382.1	3	0	5	3	1	1
ENSG00000246331.2	AC010198.1	0	1	0	0	1	0
ENSG00000246334.2	PRR7-AS1	0	0	0	0	0	0
ENSG00000246339.6	EXTL3-AS1	5	6	5	4	10	8
ENSG00000246350.1	AL049543.1	2	0	0	0	0	0
ENSG00000246363.3	LINC02458	20	20	9	27	55	25
ENSG00000246366.6	LACTB2-AS1	0	0	1	0	0	0
ENSG00000246375.3	PPM1K-DT	1	2	2	0	0	2
ENSG00000246379.8	AC040168.1	5	1	0	0	1	0
ENSG00000246394.7	ZNF84-DT	0	1	0	0	0	0
ENSG00000246422.2	DIAPH1-AS1	0	0	0	0	0	0
ENSG00000246430.7	LINC00968	110	116.001	89	84	88	74.001
ENSG00000246451.2	AL049840.2	1	0	0	4	0	0
ENSG00000246465.1	AC138904.1	0	0	0	0	0	0
ENSG00000246477.3	AF131216.1	1	0	1	0	0	1
ENSG00000246523.8	FZD4-DT	0	1	0	0	0	0
ENSG00000246526.2	LINC002481	7	6	5	8	7	9
ENSG00000246528.3	AC079089.1	0	0	1	0	0	0
ENSG00000246541.2	AC096746.1	0	0	0	0	0	0
ENSG00000246548.3	LINC02288	1	1	0	0	1	0
ENSG00000246560.2	UBE2D3-AS1	71	56	72	70	67	101
ENSG00000246575.2	AC093162.3	0	1	0	1	0	1
ENSG00000246582.3	AC100861.1	47	164	139.001	72	142	137
ENSG00000246596.7	AC139795.1	79.39	134.244	83.453	106.158	68.806	61.891
ENSG00000246627.6	CACNA1C-AS1	5	9	3	1	6	1
ENSG00000246640.1	PICART1	0	0	0	0	0	0
ENSG00000246662.6	LINC00535	0	1	2	1	0	0
ENSG00000246695.8	RASSF8-AS1	174	158	73.001	171.999	113	58.999
ENSG00000246705.4	H2AJ	1191	1169	979	1274	1059	1158
ENSG00000246731.3	AC100786.1	86	89	105	76	78	104
ENSG00000246740.2	PLA2G4E-AS1	3	0	0	0	0	1
ENSG00000246763.7	RGMB-AS1	0	0	0	0	0	0
ENSG00000246774.1	COL25A1-DT	0	0	0	0	0	0
ENSG00000246777.1	AC044802.1	1	3	0	7	2	1
ENSG00000246790.2	AP000977.1	0	0	0	0	2	0
ENSG00000246792.3	AC106038.1	0	1	1	0	0	1
ENSG00000246820.2	RIC3-DT	0	0	0	0	0	0
ENSG00000246851.1	AL157938.3	1	0	0	0	0	0
ENSG00000246859.3	STARD4-AS1	6	8	5	18	4	4
ENSG00000246863.2	GPR176-DT	0	0	0	0	0	0
ENSG00000246876.7	LINC02466	0	0	0	0	0	0
ENSG00000246877.1	DNM1P35	3	8	5	3	10	4
ENSG00000246889.2	AP000487.1	1.002	1	1	0	1	2
ENSG00000246898.1	LINC00920	3	27	24	0	14	23
ENSG00000246922.8	UBAP1L	132	125	209	198	140	198
ENSG00000246982.7	Z84485.1	1	3	3	3	3	1
ENSG00000246985.8	SOCS2-AS1	2	8	8	5	1	10
ENSG00000247011.2	AC005920.1	1	2	0	0	1	1
ENSG00000247033.1	AC099508.1	1	3	6	1	0	3
ENSG00000247049.2	AC008443.2	0	0	1	0	0	0
ENSG00000247077.7	PGAM5	2231	1997.001	2186.001	2321.999	1847	2636
ENSG00000247081.8	BAALC-AS1	13	13	6	14	9	18
ENSG00000247092.7	SNHG10	147.001	175	182.001	179	150	166.999
ENSG00000247095.3	MIR210HG	23	81.001	63	6	6	22
ENSG00000247121.7	AC009126.1	100	88	58	57	69	61.001
ENSG00000247130.2	AC138781.1	0	0	0	1	0	0
ENSG00000247131.6	AC025263.1	0	0	0	0	0	0
ENSG00000247134.7	AC090204.1	76	77.001	106	70	58	86.001
ENSG00000247137.9	AP000873.2	126	177.999	178	186.999	129	167
ENSG00000247151.7	CSTF3-DT	8	3	6	6	8	3
ENSG00000247157.7	LINC01252	10	6	21	7	8	13
ENSG00000247193.3	AC104078.1	0	0	0	1	0	0
ENSG00000247199.5	AC011346.1	28	28	28	37.001	19	37
ENSG00000247213.7	LINC01498	1	0	3	1	1	1
ENSG00000247228.3	AC009060.1	1	2	2	0	2	1
ENSG00000247240.8	UBL7-AS1	189.001	218	173.529	197	178.001	185
ENSG00000247271.7	ZBED5-AS1	1054	1038	975.002	1412	968.005	1232.001
ENSG00000247287.3	AL359220.1	10	3	1	0	2	1
ENSG00000247311.3	AC010255.1	0	0	0	0	0	0
ENSG00000247315.4	ZCCHC3	1441	1541	1498	1749	1363	1710
ENSG00000247317.3	LY6E-DT	1	0	0	0	0	0
ENSG00000247324.2	AC010547.1	3	6	4	4	3	7
ENSG00000247345.2	AC092343.1	1	0	0	0	1	0
